,Judul Berita,Isi Berita
0,PKS-NasDem Tolak Putusan PN Jakpus Tunda Tahapan Pemilu 2024,Partai Keadilan Sejahtera (PKS) dan NasDem menolak putusan Pengadilan Negeri (PN) Jakarta Pusat yang mengabulkan gugatan Partai Prima dan memerintahkan KPU menunda tahapan Pemilu 2024.
1,"Jokowi: Kawasan KIPI, Masa Depan Industri Energi Hijau Indonesia","Presiden Joko Widodo (Jokowi) menilai Kawasan Kalimantan Industrial Park Indonesia (KIPI) di Kabupaten Bulungan, Provinsi Kalimantan Utara, memiliki potensi untuk menjadi masa depan Indonesia dalam pengembangan industri energi hijau."
2,Komisi II DPR Nilai PN Jakpus Lampaui Kewenangan soal Tunda Pemilu,Ketua Komisi II DPR RI Ahmad Doli Kurnia menilai putusan Pengadilan Negeri (PN) Jakarta Pusat soal penundaan tahapan Pemilu 2024 telah melampaui kewenangan.
3,"Bikin Geger, Jepang Temukan 7 Ribu Pulau Baru",Jepang menemukan tujuh ribu pulau baru dan membuat geger Negeri Sakura.
4,"China Protes Penjualan Senjata AS ke Taiwan Senilai Rp9,4 Triliun","China menentang rencana penjualan senjata Amerika Serikat ke Taiwan senilai US$619 juta atau sekitar Rp9,4 triliun, termasuk ratusan rudal amunisi jet F-16."
5,Cerita Sedih Orang Tajir Korut Kabur dari Rezim Kim Jong Un,Warga tajir Korea Utara Oh Hye Son menceritakan betapa tak bahagianya hidup di Korut meski bergelimang harta dan privilese.
6,Kemendag Siap Jika China Gugat Larangan Ekspor Bauksit RI ke WTO,"Kementerian Perdagangan menyatakan pemerintah siap jika kebijakan larangan ekspor bauksit yang akan dijalankan Presiden Jokowi mulai Juni 2023 nanti dipermasalahkan negara sahabat, termasuk China ke WTO."
7,Sri Mulyani Mulai Asuransikan Barang Negara Antisipasi Bencana,Menteri Keuangan (Menkeu) Sri Mulyani mengungkapkan pemerintah mulai mengasuransikan barang milik negara (BMN) sebagai antisipasi risiko bencana alam yang kerap terjadi di Indonesia. Skema asuransi itu diatur dalam instrumen pooling fund bencana (PFB).
8,Kemenhub Blak-blakan Bicara Wacana Reaktivasi Jalur KA Ciwidey-Bandung,Kementerian Perhubungan (Kemenhub) blak-blakan soal wacana menghidupkan kembali (reaktivasi) jalur kereta Ciwidey-Bandung di Jawa Barat.
9,Pengamat: 2 Penyakit Lama Bikin Indonesia U-20 Kalah dari Irak,Pengamat sepak bola nasional M Kusnaeni berpendapat setidaknya dua 'penyakit' lama yang jadi penyebab kekalahan Timnas Indonesia U-20 dari Irak di Piala Asia U-20 2023.
10,"Indra Sjafri Soal Target SEA Games: Harus Emas, Masa Jadi Partisipan",Pelatih Timnas Indonesia U-22 Indra Sjafri mengatakan target pada SEA Games 2023 di Kamboja adalah meraih medali emas.
11,FOTO: Ramai Wajah Baru Skuad Indonesia U-22 untuk SEA Games 2023,"Kepala BMKG, Dwikorita Karnawati menyebut Ketua Umum PDI-Perjuangan, Megawati Soekarnoputri kerap mengingatkan agar belajar ke China soal gempa bumi."
12,Kepala BMKG Sebut Megawati Sering Ingatkan Belajar Gempa ke China,"Badan Meteorologi, Klimatologi, dan Geofisika (BMKG) menyebut sejumlah wilayah di Indonesia termasuk Jakarta berpotensi diguncang gempa akibat aktivitas multi segmen zona sesar aktif di sekitarnya."
13,BMKG Ingatkan Potensi Gempa Kuat di Zona Dekat Jakarta,Amerika Serikat (AS) semakin galak ke TikTok usai DPR mereka mengajukan Undang-undang yang memungkinkan Presiden Joe Biden memblok media sosial asal China tersebut.
14,"Semakin Galak, Undang-undang Baru AS Bisa Buat Tiktok Diblokir","Netizen membongkar soal status pelat nomor sepeda motor gede (moge) Harley-Davidson yang kerap dipamerkan Mario Dandy Satriyo, anak pejabat Direktorat Jenderal Pajak (DJP) Rafael Alun Trisambodo."
15,Belajar Segala Sesuatu soal Kendaraan Elektrifikasi di XEV Center,Komunitas sepeda motor gede atau moge mengakui memang ada pengguna Harley-Davidson bodong atau tidak terdaftar di Samsat.
16,"Geram dengan KPK, Netizen Bongkar Pelat Nomor Harley-Davidson Mario","Industri perfilman Filipina makin berkembang dan hadir dalam berbagai pilihan genre dan tema, salah satunya film khusus bagi dewasa. Film dewasa Filipina memiliki daya tariknya tersendiri."
17,Komunitas Moge Akui Banyak Pemilik Harley-Davidson Bodong,"Aktor laga asal Hong Kong, Donnie Yen mengaku sempat memprotes soal nama karakter dan atribut karakternya di film John Wick 4."
18,"7 Film Dewasa Filipina, Ada 'Sid & Aya: Not a Love Story'",Ed Sheeran akan merilis album kelima bertajuk '-' atau Subtract pada 5 Mei. Kabar itu diumumkan Ed Sheeran melalui unggahan media sosial yang menyertakan video teaser.
19,"Tak Suka, Donnie Yen Rombak Karakternya di John Wick 4",Audisi Puteri Indonesia sudah memasuki tahap audisi nasional.
20,"Subtract, Album Kelima Ed Sheeran Rilis 5 Mei","Naik pesawat tentu menjadi kegiatan yang sering dijalani para traveler atau pelancong. Dalam penerbangan terdapat perbedaan kelas pesawat, tergantung mana yang kamu sukai atau sesuai kantong."
21,Puteri Indonesia Beri Kesempatan Kedua Finalis Lama untuk Audisi Lagi,Kementerian Kesehatan (Kemenkes) mencatat setidaknya 32 orang meninggal dunia akibat leptospirosis. Penyakit ini kerap muncul saat banjir.
22,"Beda Kelas di Pesawat, Ada Ekonomi, Bisnis, dan First Class",Partai Keadilan Sejahtera (PKS) dan NasDem menolak putusan Pengadilan Negeri (PN) Jakarta Pusat yang mengabulkan gugatan Partai Prima dan memerintahkan KPU menunda tahapan Pemilu 2024.
23,"32 Orang Meninggal Akibat Leptospirosis, Apa Saja Gejalanya?","Presiden Joko Widodo (Jokowi) menilai Kawasan Kalimantan Industrial Park Indonesia (KIPI) di Kabupaten Bulungan, Provinsi Kalimantan Utara, memiliki potensi untuk menjadi masa depan Indonesia dalam pengembangan industri energi hijau."
24,PKS-NasDem Tolak Putusan PN Jakpus Tunda Tahapan Pemilu 2024,Ketua Komisi II DPR RI Ahmad Doli Kurnia menilai putusan Pengadilan Negeri (PN) Jakarta Pusat soal penundaan tahapan Pemilu 2024 telah melampaui kewenangan.
25,"Jokowi: Kawasan KIPI, Masa Depan Industri Energi Hijau Indonesia",Jepang menemukan tujuh ribu pulau baru dan membuat geger Negeri Sakura.
26,Komisi II DPR Nilai PN Jakpus Lampaui Kewenangan soal Tunda Pemilu,"China menentang rencana penjualan senjata Amerika Serikat ke Taiwan senilai US$619 juta atau sekitar Rp9,4 triliun, termasuk ratusan rudal amunisi jet F-16."
27,"Bikin Geger, Jepang Temukan 7 Ribu Pulau Baru",Warga tajir Korea Utara Oh Hye Son menceritakan betapa tak bahagianya hidup di Korut meski bergelimang harta dan privilese.
