,Datetime,Text,Username,Lokasi
0,2023-03-02 15:57:58+00:00,@txtdaribogor @txtdaritng Jalan menuju stasiun citayam yang ada Situ Citayamnya juga rusak ampun2an @ridwankamil,mahardyanti,"ÜT: -6.388907,106.794049"
1,2023-03-02 15:48:12+00:00,@humasjabar @ridwankamil @ESDMJabar HAHAHAHAHAHAHAHA,gunanyaindra,
2,2023-03-02 15:46:07+00:00,"@sastrajawacom Cc @jokowi 
@ganjarpranowo 
@ridwankamil 
@TriRismaHarini 
🙏🏻🙏🏻🙇🏻‍♂",anjar_kz200,Indonesia
3,2023-03-02 15:43:30+00:00,@humasjabar @ridwankamil @ESDMJabar Beraaaak sekebon,bluuvlvt,
4,2023-03-02 15:42:51+00:00,@PaUuRuzhanul @ridwankamil @humasjabar Emang pasangan yang sangat keren gubernur sama wakil gubernur yang sangat kompak,thauvikh,
5,2023-03-02 15:39:53+00:00,@sangkuriang1966 @haloriungbdg @PRFMnews @InfoMrRaya @ibrbandungraya @sekitarbandung_ @ridwankamil Solusi pak gub biasanya adalah jangan terkena masalah kriminal 🙏,nyao96,
6,2023-03-02 15:38:04+00:00,@humasjabar @ridwankamil @ESDMJabar gimmick dlu guys soalnya mau turun jabatan #sugantehpinter,rubyleave,
7,2023-03-02 15:30:46+00:00,@ridwanhr Bandung serawan ini ya kang @ridwankamil ?? Sadis pisan🥲,fadilcrust_,"Kota Tangerang, Banten"
8,2023-03-02 15:30:32+00:00,"@humasjabar @ridwankamil @ESDMJabar Lithium Ion itu ga bisa di daur ulang min, mau kalian baung diamana barang bekas tsb?",lordsalty57_,somewhere
9,2023-03-02 15:27:16+00:00,@humasjabar @ridwankamil @ESDMJabar Yg banyak untungnya produsen sama salesnya...,isaac_maulana,
10,2023-03-02 15:23:25+00:00,@PaUuRuzhanul @ridwankamil @humasjabar Pak uu sama kang Emil nyiptain program nya keren banget ya sangat bagus banget,noisyboy124,
11,2023-03-02 15:20:16+00:00,"Banyak anak pejabat pamer kekayaan orang tua, berbeda dengan ERIL Ridwan Kamil anak pejabat yang aktif dalam kegiatan sosial.

Semoga Eril Husnul Khatimah.
#pplhiupdate_2020 #pplhiupdate_2016 #RelawanSahabatRK #SahabatRK #pplhipeduli #RidwanKamil #IndonesiaJuara #IndonesiaLestari https://t.co/DW6X9OSDBX",dyhbuya75,
12,2023-03-02 15:16:58+00:00,"@humasjabar @ridwankamil @ESDMJabar Ramah lingkungan? Emang tambang nikel, lithium-nya gak ngerusak lingkungan ya min?
Pabrik baterai-nya gak ngeluarin polusi &amp; limbah? 🥱",MalaKlose,"Jakarta, Indonesia"
13,2023-03-02 15:12:07+00:00,"@ridwankamil jadi tulung atuh kang akses sukabumi diperhatikan maenya berharap cuman sama tol sajah....pasar2 relokasi dipindah jamgan di jalan protokol, buat kawasan industri terpusat macam di karawang...jadi kawasan berikat angkot2 di tata rapih",smileofsolitude,"Jakarta Timur, DKI Jakarta"
14,2023-03-02 15:10:24+00:00,@ridwankamil jika ditata sukabumi bisa kayak malang bahkan lebih karena destinasi wisata bisa dikerek alih2 industrialisasi terus2 an.....alam sukabumi sangat baik,smileofsolitude,"Jakarta Timur, DKI Jakarta"
15,2023-03-02 15:09:00+00:00,"@ridwankamil belum ini bicara dampak pabrik2 ke lingkungan...apakah pengerukaan air mineral ga merusak? Apakah sudah di cek, blm lagi pengerukan pasir dan hasil alam....",smileofsolitude,"Jakarta Timur, DKI Jakarta"
16,2023-03-02 15:07:46+00:00,@ridwankamil penataan lokasi industri pun acak2 kan kata sayah mah dinjalan protokol saabreg pabrik yg akhirnya bikin macet parah...akibatnya pada malas ke sukabumi dan akses ekonomi jadi mahal di jalan,smileofsolitude,"Jakarta Timur, DKI Jakarta"
17,2023-03-02 15:06:32+00:00,@ridwankamil jembatan2 kondisinya sukanya tambal sulam. Sukabuni bisa lama2 terisolasi padahal mah yah deket ibukota negara dan provinsi,smileofsolitude,"Jakarta Timur, DKI Jakarta"
18,2023-03-02 15:05:07+00:00,@ridwankamil Pak Jalur sukabumi baik ke bandung atau jakarta ga beres2 dr mulai macet sampe kualitas jalan...sudah lama terjadi tapi dikit perhatian dr provinsi,smileofsolitude,"Jakarta Timur, DKI Jakarta"
19,2023-03-02 15:03:54+00:00,"@humasjabar @ridwankamil @ESDMJabar anti begal teu?
anti macet teu?
benerkeun heula nu penting atuh, so soan jualan 💀",pluffymonster,"earth, milkyway"
20,2023-03-02 15:03:11+00:00,@humasjabar @ridwankamil @ESDMJabar marketing pln 🫣,bbmrachel,indonesia
21,2023-03-02 15:02:37+00:00,"@convomf Gak bisa dibiarkan harus speak up nder mana nih ham hum him, giliran kaum boty aja koar2 macem toa rusak. Stop bullying @ridwankamil @disdik_bandung @bbgp_jabar",lizace01,West Java
22,2023-03-02 14:59:52+00:00,@humasjabar @elkhoers_ID @ridwankamil @ESDMJabar geje min,pluffymonster,"earth, milkyway"
23,2023-03-02 14:58:52+00:00,"@humasjabar @ridwankamil @ESDMJabar Mohon maaf nih min, aman dr banjir nggak nih? Eh 🙈",Mijn_dagboek_1,
24,2023-03-02 14:52:16+00:00,"@humasjabar @ridwankamil @ESDMJabar Emang pembangkit listrik kita udah gak pakai batu bara, Min?",lmplisit,
25,2023-03-02 14:48:50+00:00,"Hallo sobat bima tiga 👋 
di wilayah Kbb dan Cimahi sekitarnya,ijin menginformasikan ada pemeliharaan jalan yaitu pekerjaan Tambal Sulam Hotmix (Sapu Lobang) Ruas Jalan Rajamandala - Cipendeuy - Cikalong Wetan.
@bimautamajabar
@ridwankamil
#dbmprjuara https://t.co/9OiRComUZp",bimatigabdg,
26,2023-03-02 14:45:34+00:00,@PaUuRuzhanul @ridwankamil @humasjabar Program pak rk sama pak uu ini sulit di tebak ya gays soalnya keren keren banget,TaufikH17756999,"Bandung, Jawa Barat"
27,2023-03-02 14:45:07+00:00,"@txtdaribandung pak yeuh paaaaakkk @kangyanamulyana @ridwankamil @RESTABES_BDG 

Bandungku bukan lautan darah",autumnpumpkin80,
28,2023-03-02 14:44:45+00:00,@M45Broo @ridwankamil @bogorkab,papae_iceng,"Jakarta Capital Region, Indone"
29,2023-03-02 14:43:34+00:00,"Achmad Ru’yat Pimpin Kunjungan ke Kemendagri, Pelajari Mekanisme Pengangkatan Pj Gubernur - https://t.co/pqBWAhac9u #bogorkita #bogor #ridwankamil",web_bogorkita,bogor
30,2023-03-02 14:41:21+00:00,"@humasjabar @ridwankamil @ESDMJabar Ari ente. Tibatan meuli kos kieu mah, mending deselan tarigu beas atuh...
Tarigu na weh balangkeun kana beungeut maneh. Meh disangka ulang tahun.",Iraha_ri,"Durian Runtuh, Malaysia"
31,2023-03-02 14:37:14+00:00,"Selamat malam #SobatBima6 di wilayah #Ciayumaja menemani waktu bersantai, mimin mau menginformasikan ada pemeliharaan jalan yaitu kegiatan pekerjaan #TambalSulamdenganHotmix di ruas jalan Mayor Dasuki https://t.co/pS7JgoAXMQ.49+890
@bimautamajabar @ridwankamil #dbmprjuara https://t.co/wRuazmohhA",bima6ciayumaja,
32,2023-03-02 14:36:43+00:00,"@humasjabar @ridwankamil @ESDMJabar 1.Belum aja kalau nanti daur ulang baterai nya yg udah nggak bisa di pakai gimana ?
2. Tempat pengisian baterai?
3. Daya listrik di rumah ?
4. Listrik yg paling murah masih Dari batubara
5. Bahan baterai juga dari tambang",8Tezcatlipoca8,
33,2023-03-02 14:36:16+00:00,"Selamat malam #SobatBima6 di wilayah #Ciayumaja menemani waktu bersantai, mimin mau menginformasikan ada pemeliharaan jalan yaitu kegiatan pekerjaan #TambalSulamdenganHotmix di ruas jalan Mayor Dasuki https://t.co/pS7JgoAXMQ.50+460
@bimautamajabar @ridwankamil #dbmprjuara https://t.co/dNJvoMYjUn",bima6ciayumaja,
34,2023-03-02 14:36:09+00:00,"Selamat malam #SobatBima6 di wilayah #Ciayumaja menemani waktu bersantai, mimin mau menginformasikan ada pemeliharaan jalan yaitu kegiatan pekerjaan #TambalSulamdenganHotmix di ruas jalan Mayor Dasuki https://t.co/pS7JgoAXMQ.50+490
@bimautamajabar @ridwankamil #dbmprjuara https://t.co/JGexaS16QK",bima6ciayumaja,
35,2023-03-02 14:35:49+00:00,"Selamat malam #SobatBima6 di wilayah #Ciayumaja menemani waktu bersantai, mimin mau menginformasikan ada pemeliharaan jalan yaitu kegiatan pekerjaan #TambalSulamdenganHotmix di ruas jalan Mayor Dasuki https://t.co/pS7JgoAXMQ.50+500
@bimautamajabar @ridwankamil #dbmprjuara https://t.co/NkTfUTfOkY",bima6ciayumaja,
36,2023-03-02 14:35:09+00:00,"@humasjabar @ridwankamil @ESDMJabar Political will
Political will
Political will",Sonydertha,"Bandung, Indonesia"
37,2023-03-02 14:34:35+00:00,"Selamat malam #SobatBima6 di wilayah #Ciayumaja menemani waktu bersantai, mimin mau menginformasikan ada pemeliharaan jalan yaitu kegiatan pekerjaan #TambalSulamdenganHotmix di ruas jalan Bts.Mjlk/Idm-Jtbrng https://t.co/pS7JgoAXMQ.75+100
@bimautamajabar @ridwankamil #dbmprjuara https://t.co/Fzk4VIo5l4",bima6ciayumaja,
38,2023-03-02 14:33:32+00:00,"Selamat malam #SobatBima6 di wilayah #Ciayumaja menemani waktu bersantai, mimin mau menginformasikan ada pemeliharaan jalan yaitu kegiatan pekerjaan #PerawatanDamija di ruas jalan Pekandangan-Jatibarang https://t.co/pS7JgoAXMQ.58+800
@bimautamajabar @ridwankamil #dbmprjuara https://t.co/Gt6BY95fot",bima6ciayumaja,
39,2023-03-02 14:32:51+00:00,"Selamat malam #SobatBima6 di wilayah #Ciayumaja menemani waktu bersantai, mimin mau menginformasikan ada pemeliharaan jalan yaitu kegiatan pekerjaan #SodetanGenanganAir di ruas jalan Bts.Mjlk/Idm-Jatibarang https://t.co/pS7JgoAXMQ.84+900
@bimautamajabar @ridwankamil #dbmprjuara https://t.co/ERqVWpwd9b",bima6ciayumaja,
40,2023-03-02 14:32:35+00:00,@PaUuRuzhanul @ridwankamil @humasjabar Keren sekali pak rk sama pak uu ini saling support gini ya,fredoq__,
41,2023-03-02 14:32:09+00:00,"Selamat malam #SobatBima6 di wilayah #Ciayumaja menemani waktu bersantai, mimin mau menginformasikan ada pemeliharaan jalan yaitu kegiatan pekerjaan #PerawatanBahuJalan di ruas jalan Bts.Mjlk/Idm-Jatibarang https://t.co/pS7JgoAXMQ.78+360
@bimautamajabar @ridwankamil #dbmprjuara https://t.co/5n6PUUW7jp",bima6ciayumaja,
42,2023-03-02 14:31:04+00:00,"Selamat malam #SobatBima6 di wilayah #Ciayumaja menemani waktu bersantai, mimin mau menginformasikan ada pemeliharaan jalan yaitu kegiatan pekerjaan #PerawatanBahuJalan di ruas jalan Karangampel-Jatibarang https://t.co/pS7JgoAXMQ.36+770
@bimautamajabar @ridwankamil #dbmprjuara https://t.co/HZ3Uu47a57",bima6ciayumaja,
